Date,Mkt-RF,SMB,HML,RF
20200102,0.86,-0.88,-0.33,0.006
20200103,-0.67,0.38,0.01,0.006
20200106,0.36,-0.07,-0.55,0.006
20200107,-0.19,-0.01,-0.25,0.006
20200108,0.47,-0.06,-0.64,0.006
20200109,0.65,-0.64,-0.49,0.006
20200110,-0.34,-0.19,-0.33,0.006
20200113,0.73,-0.11,-0.08,0.006
20200114,-0.06,0.39,-0.18,0.006
20200115,0.16,0.47,-0.81,0.006
20200116,0.88,0.52,-0.11,0.006
20200117,0.28,-0.64,-0.13,0.006
20200121,-0.32,-0.51,-0.61,0.006
20200122,0.08,-0.26,0.01,0.006
20200123,0.08,-0.05,-0.13,0.006
20200124,-0.97,-0.44,-0.28,0.006
20200127,-1.56,0.37,-0.41,0.006
20200128,1.02,-0.13,-0.42,0.006
20200129,-0.1,-0.24,-0.97,0.006
20200130,0.34,-0.68,0.68,0.006
20200131,-1.74,-0.42,-0.35,0.006
20200203,0.84,0.62,-0.68,0.006
20200204,1.57,-0.05,-0.68,0.006
20200205,0.97,0.31,1.46,0.006
20200206,0.27,-0.44,-0.83,0.006
20200207,-0.55,-0.79,-0.03,0.006
20200210,0.73,0,-0.88,0.006
20200211,0.28,0.05,1.04,0.006
20200212,0.66,0.15,-0.35,0.006
20200213,-0.09,0.2,0,0.006
20200214,0.15,-0.38,-0.66,0.006
20200218,-0.19,0.16,-0.64,0.006
20200219,0.6,0.18,0.03,0.006
20200220,-0.35,0.49,0.66,0.006
20200221,-1.12,-0.11,0.02,0.006
20200224,-3.39,0.18,0.01,0.006
20200225,-3.09,-0.1,-0.68,0.006
20200226,-0.52,-0.38,-1.2,0.006
20200227,-4.22,0.78,0.05,0.006
20200228,-0.78,0.29,-0.8,0.006
20200302,4.31,-1.69,-0.43,0.006
20200303,-2.79,0.81,-0.63,0.006
20200304,4.03,-1.08,-1.17,0.006
20200305,-3.38,0.24,-1.4,0.006
20200306,-1.78,0.06,-1.49,0.006
20200309,-7.78,-0.38,-4.75,0.006
20200310,4.74,-2.49,0.79,0.006
20200311,-5.05,-0.83,-0.81,0.006
20200312,-9.63,-0.45,-1.18,0.006
20200313,8.96,-2.73,2.98,0.006
20200316,-12,-0.26,-0.76,0.006
20200317,5.87,0.83,-0.69,0.006
20200318,-5.56,-3.57,-4.71,0.006
20200319,1.31,5.5,0.87,0.006
20200320,-4.15,0.34,-0.89,0.006
20200323,-2.55,2.22,-3.3,0.006
20200324,9.34,-1.25,2.39,0.006
20200325,1.18,-0.73,1.93,0.006
20200326,6.02,-0.72,1.09,0.006
20200327,-3.48,-0.83,-0.76,0.006
20200330,3.16,-0.3,-2.11,0.006
20200331,-1.44,1.8,-0.39,0.006
20200401,-4.51,-1.5,-1.42,0
20200402,2.1,-0.98,-0.28,0
20200403,-1.64,-1.09,-1.15,0
20200406,7.06,0.76,0.3,0
20200407,-0.11,-0.57,2.1,0
20200408,3.4,0.31,1.29,0
20200409,1.59,1.93,3.17,0
20200413,-0.92,-0.84,-2.4,0
20200414,3.02,-0.18,-3.13,0
20200415,-2.15,-1.23,-2.54,0
20200416,0.62,-0.21,-2.97,0
20200417,2.72,0.74,2.77,0
20200420,-1.56,0.77,-0.91,0
20200421,-3.08,0.93,0.16,0
20200422,2.31,-0.7,-1.65,0
20200423,0.13,1.11,0.55,0
20200424,1.44,0.27,-0.12,0
20200427,1.73,1.61,2.7,0
20200428,-0.45,0.98,2.84,0
20200429,2.92,1.88,2,0
20200430,-1.18,-1.42,-1.68,0
20200501,-2.91,-0.56,-0.97,0
20200504,0.53,0.2,-1.29,0
20200505,0.95,0.04,-2.01,0
20200506,-0.52,0.54,-2.7,0
20200507,1.33,-0.06,0.39,0
20200508,1.9,1.39,2.45,0
20200511,0.07,0.47,-3.78,0
20200512,-2.06,-0.84,-1.35,0
20200513,-1.89,-0.9,-2.09,0
20200514,1.14,-1.51,0.92,0
20200515,0.57,1.61,-1.16,0
20200518,3.24,1.57,4.61,0
20200519,-1.01,-0.54,-1.49,0
20200520,1.8,1.09,1.31,0
20200521,-0.7,0.63,0.41,0
20200522,0.27,0.47,-0.86,0
20200526,1.23,0.1,4.56,0
20200527,1.54,0.65,3.61,0
20200528,-0.41,-1.53,-2.43,0
20200529,0.6,-0.29,-1.97,0
20200601,0.52,-0.04,0.43,0
20200602,0.81,-0.09,0.54,0
20200603,1.42,0.16,2.63,0
20200604,-0.34,-0.23,2.89,0
20200605,2.5,0.66,2.76,0
20200608,1.39,0.37,2.09,0
20200609,-0.85,-0.25,-1.93,0
20200610,-0.56,-0.85,-4.1,0
20200611,-5.91,-0.82,-3.04,0
20200612,1.29,0.31,1.83,0
20200615,1.09,1.46,-0.39,0
20200616,1.87,0.6,0.49,0
20200617,-0.4,-0.9,-1.98,0
20200618,0.19,0.09,-0.53,0
20200619,-0.45,0.09,-0.65,0
20200622,0.71,0.84,-1.36,0
20200623,0.42,0.16,-0.6,0
20200624,-2.61,-0.45,-1.36,0
20200625,1.12,0.24,0.51,0
20200626,-2.44,0.12,-1.4,0
20200629,1.51,1.25,1.84,0
20200630,1.58,0.08,0.01,0
20200701,0.41,-1.28,-2.58,0.001
20200702,0.5,-0.02,-0.13,0.001
20200706,1.65,-0.63,0.34,0.001
20200707,-1.03,-0.5,-1.5,0.001
20200708,0.91,0.3,-0.47,0.001
20200709,-0.53,-0.93,-2.6,0.001
20200710,1.11,-0.07,3.07,0.001
20200713,-1.2,-0.77,2.04,0.001
20200714,1.35,0.42,-0.29,0.001
20200715,1.14,2.42,1.25,0.001
20200716,-0.37,-0.35,0.8,0.001
20200717,0.3,0.18,-1.42,0.001
20200720,1.01,-0.45,-2.37,0.001
20200721,0.15,0.84,3.27,0.001
20200722,0.49,-0.61,-0.37,0.001
20200723,-1.2,0.72,1.97,0.001
20200724,-0.75,-0.82,0.44,0.001
20200727,0.88,0.76,-1.99,0.001
20200728,-0.81,-0.71,1,0.001
20200729,1.35,0.48,0.89,0.001
20200730,-0.29,0.49,-1.84,0.001
20200731,0.61,-1.6,-0.66,0.001
20200803,0.98,1.22,-0.84,0
20200804,0.37,0.47,0.04,0
20200805,0.78,1.04,0.83,0
20200806,0.53,-0.41,-0.83,0
20200807,0.02,0.91,2.4,0
20200810,0.24,0.88,1.73,0
20200811,-0.83,-0.33,1.64,0
20200812,1.4,-0.51,-1.34,0
20200813,-0.01,0.18,-1.33,0
20200814,-0.04,-0.09,1.08,0
20200817,0.45,0.59,-1.93,0
20200818,0.22,-1.06,-1.42,0
20200819,-0.38,0.47,0.1,0
20200820,0.31,-0.52,-1.54,0
20200821,0.26,-1.09,-0.43,0
20200824,0.92,-0.37,2.6,0
20200825,0.36,0.15,-0.65,0
20200826,1,-1.17,-1.74,0
20200827,0.18,-0.34,0.95,0
20200828,0.7,0.27,-0.23,0
20200831,-0.04,-0.42,-1.76,0
20200901,0.92,0.45,-0.3,0
20200902,1.27,-0.5,-0.45,0
20200903,-3.7,-0.23,2.6,0
20200904,-0.87,-0.17,2.06,0
20200908,-2.91,0.66,-0.28,0
20200909,2.07,-0.17,-2,0
20200910,-1.64,0.3,-0.07,0
20200911,-0.06,-0.84,0.89,0
20200914,1.59,1.19,-0.8,0
20200915,0.57,-0.27,-1.43,0
20200916,-0.39,0.76,1.31,0
20200917,-0.85,0.36,0.2,0
20200918,-0.88,0.79,-0.21,0
20200921,-1.08,-2.03,-1.88,0
20200922,1.02,-0.14,-1.63,0
20200923,-2.48,-0.71,0.16,0
20200924,0.25,-0.21,0.38,0
20200925,1.72,0.15,-1.34,0
20200928,1.66,0.72,1.05,0
20200929,-0.42,0.76,-1.33,0
20200930,0.79,-0.73,0.15,0
20201001,0.79,1.04,-0.54,0
20201002,-0.96,1.08,2.44,0
20201005,1.93,1.02,-0.11,0
20201006,-1.28,0.74,0.26,0
20201007,1.84,0.53,0.22,0
20201008,0.8,0.02,0.99,0
20201009,0.93,0.01,-1.41,0
20201012,1.53,-0.84,-0.09,0
20201013,-0.41,0.18,-1.72,0
20201014,-0.65,0.09,0.03,0
20201015,-0.08,0.89,1.14,0
20201016,-0.06,-0.18,0.06,0
20201019,-1.53,0.35,0.3,0
20201020,0.34,-0.24,1.26,0
20201021,-0.36,-0.47,0.41,0
20201022,0.67,0.61,1.03,0
20201023,0.38,0.42,0.04,0
20201026,-1.85,-0.28,-0.39,0
20201027,-0.23,-0.07,-2.33,0
20201028,-3.41,0.01,0.58,0
20201029,1.13,0.17,0.27,0
20201030,-1.45,-0.8,1.86,0
20201102,1.17,0.53,0.99,0
20201103,1.93,1,-0.2,0
20201104,2.25,-1.48,-5,0
20201105,2.13,1,0.52,0
20201106,0.01,-0.86,-0.93,0
20201109,0.86,0.8,6.74,0
20201110,-0.17,1.56,2.16,0
20201111,0.88,-0.56,-1.75,0
20201112,-0.94,-0.23,-1.18,0
20201113,1.31,0.61,1.14,0
20201116,1.22,0.78,2,0
20201117,-0.19,0.61,0,0
20201118,-0.93,-0.03,0.02,0
20201119,0.59,0.47,-0.76,0
20201120,-0.51,0.68,-0.61,0
20201123,0.83,0.87,1.57,0
20201124,1.56,-0.11,2.76,0
20201125,0.03,0,-1.33,0
20201127,0.43,0.47,-1.62,0
20201130,-0.53,-0.99,-2.07,0
20201201,0.98,-0.26,0.54,0
20201202,0.11,-0.09,1.07,0
20201203,0.18,0.5,-0.09,0
20201204,1.02,1.47,0.84,0
20201207,0.03,0.24,-1.02,0
20201208,0.47,1.02,-0.71,0
20201209,-1.03,-0.06,1.28,0
20201210,0.24,1.12,-0.47,0
20201211,-0.2,-0.38,-0.71,0
20201214,-0.28,0.58,-1.52,0
20201215,1.28,1.08,0.36,0
20201216,0.17,-0.43,-0.38,0
20201217,0.79,0.69,-0.71,0
20201218,-0.12,0.07,-1.17,0
20201221,-0.23,0.13,-0.05,0
20201222,0.06,1.21,-1.61,0
20201223,0.1,0.38,2.03,0
20201224,0.21,-0.41,-0.19,0
20201228,0.46,-0.73,0.36,0
20201229,-0.4,-1.53,0.24,0
20201230,0.27,1.01,0.03,0
20201231,0.39,-0.89,0.41,0
20210104,-1.41,0.22,0.58,0
20210105,0.86,1.23,0.48,0
20210106,0.79,2.14,3.93,0
20210107,1.76,0.33,-0.83,0
20210108,0.51,-0.75,-1.38,0
20210111,-0.51,0.26,1.26,0
20210112,0.38,1.29,1.21,0
20210113,0.07,-0.93,-0.45,0
20210114,-0.11,2.03,1.11,0
20210115,-0.86,-0.49,-0.76,0
20210119,0.92,0.88,-0.8,0
20210120,1.26,-0.39,-1.08,0
20210121,-0.04,-0.55,-0.94,0
20210122,-0.07,1.87,-0.12,0
20210125,0.29,-0.05,-0.41,0
20210126,-0.32,0.02,0.01,0
20210127,-2.53,1.33,1.55,0
20210128,0.92,-1.93,-0.91,0
20210129,-1.84,0.59,0.58,0
20210201,1.73,0.93,-1.47,0
20210202,1.48,-0.85,-1.08,0
20210203,0.15,0.43,0.7,0
20210204,1.23,0.38,0.37,0
20210205,0.58,1.07,-0.47,0
20210208,0.96,2.11,0.39,0
20210209,0.05,0.71,-0.17,0
20210210,-0.08,-0.47,0.64,0
20210211,0.19,-0.22,-0.43,0
20210212,0.49,-0.14,0.49,0
20210216,-0.14,-0.61,1.88,0
20210217,-0.21,-0.85,0.61,0
20210218,-0.63,-1.55,-0.19,0
20210219,0.16,1.78,0.71,0
20210222,-1.13,-0.06,3.16,0
20210223,-0.15,-1.27,0.9,0
20210224,1.15,1.21,1.41,0
20210225,-2.74,-1.14,0.92,0
20210226,-0.28,0.66,-1.57,0
20210301,2.63,1.09,0.23,0
20210302,-1.05,-1.09,1.24,0
20210303,-1.57,-0.19,3.57,0
